,Title,Authors,Pages,Publisher,Format,Price,Source,IsEbook,PriceValue
227,Perl Cookbook,"Tom Christiansen, Nathan Torkington",967,"""O'Reilly Media, Inc.""",BOOK,44.99 CAD,https://play.google.com/store/books/details?id=IzdJIax6J5oC&rdid=book-IzdJIax6J5oC&rdot=1&source=gbs_api,True,44.99
238,Programming Challenges,"Steven S Skiena, Miguel A. Revilla",376,Springer Science & Business Media,BOOK,87.07 CAD,https://play.google.com/store/books/details?id=dNoLBwAAQBAJ&rdid=book-dNoLBwAAQBAJ&rdot=1&source=gbs_api,True,87.07
239,Test-Driven Development with Python,Harry Percival,554,"""O'Reilly Media, Inc.""",BOOK,79.99 CAD,https://play.google.com/store/books/details?id=2CgvDwAAQBAJ&rdid=book-2CgvDwAAQBAJ&rdot=1&source=gbs_api,True,79.99
242,Programming Challenges,"Steven S Skiena, Miguel A. Revilla",376,Springer Science & Business Media,BOOK,87.07 CAD,https://play.google.com/store/books/details?id=dNoLBwAAQBAJ&rdid=book-dNoLBwAAQBAJ&rdot=1&source=gbs_api,True,87.07
245,Head First Agile,"Andrew Stellman, Jennifer Greene",711,"""O'Reilly Media, Inc.""",BOOK,73.99 CAD,https://play.google.com/store/books/details?id=uq42DwAAQBAJ&rdid=book-uq42DwAAQBAJ&rdot=1&source=gbs_api,True,73.99
247,The Java Tutorial,"Sharon Biocca Zakhour, Sowmya Kannan, Raymond Gallardo",1488,Addison-Wesley,BOOK,47.39 CAD,https://play.google.com/store/books/details?id=DCvc4S35iyYC&rdid=book-DCvc4S35iyYC&rdot=1&source=gbs_api,True,47.39
248,Data Science for Marketing Analytics,"Mirza Rahim Baig, Gururajan Govindan, Vishwesh Ravi Shrimali",637,Packt Publishing Ltd,BOOK,31.19 CAD,https://play.google.com/store/books/details?id=reZBEAAAQBAJ&rdid=book-reZBEAAAQBAJ&rdot=1&source=gbs_api,True,31.19
251,"Compiler Construction Using Java, JavaCC, and Yacc",Anthony J. Dos Reis,654,John Wiley & Sons,BOOK,120.99 CAD,https://play.google.com/store/books/details?id=FFcTpMi3aKQC&rdid=book-FFcTpMi3aKQC&rdot=1&source=gbs_api,True,120.99
264,The Well-Grounded Rubyist,Joe Leo,906,Simon and Schuster,BOOK,46.99 CAD,https://play.google.com/store/books/details?id=STgzEAAAQBAJ&rdid=book-STgzEAAAQBAJ&rdot=1&source=gbs_api,True,46.99
269,Implementing Domain-Driven Design,Vaughn Vernon,656,Addison-Wesley,BOOK,61.99 CAD,https://play.google.com/store/books/details?id=X7DpD5g3VP8C&rdid=book-X7DpD5g3VP8C&rdot=1&source=gbs_api,True,61.99
278,History of Programming Languages,Richard L. Wexelblat,784,Academic Press,BOOK,83.2 CAD,https://play.google.com/store/books/details?id=Hy-jBQAAQBAJ&rdid=book-Hy-jBQAAQBAJ&rdot=1&source=gbs_api,True,83.2
279,Think Like a Programmer,V. Anton Spraul,260,No Starch Press,BOOK,47.99 CAD,https://play.google.com/store/books/details?id=r6XiBUBERG8C&rdid=book-r6XiBUBERG8C&rdot=1&source=gbs_api,True,47.99
280,JUnit Pocket Guide,Kent Beck,91,"""O'Reilly Media, Inc.""",BOOK,8.99 CAD,https://play.google.com/store/books/details?id=Ur_zMK0WQwIC&rdid=book-Ur_zMK0WQwIC&rdot=1&source=gbs_api,True,8.99
284,Grokking Simplicity,Eric Normand,590,Simon and Schuster,BOOK,49.99 CAD,https://play.google.com/store/books/details?id=2zozEAAAQBAJ&rdid=book-2zozEAAAQBAJ&rdot=1&source=gbs_api,True,49.99
294,Learning Processing,Daniel Shiffman,472,Morgan Kaufmann,BOOK,48 CAD,https://play.google.com/store/books/details?id=yrR1YoiM2EAC&rdid=book-yrR1YoiM2EAC&rdot=1&source=gbs_api,True,48.0
295,D Cookbook,Adam D. Ruppe,595,Packt Publishing Ltd,BOOK,43.11 CAD,https://play.google.com/store/books/details?id=BKqkAwAAQBAJ&rdid=book-BKqkAwAAQBAJ&rdot=1&source=gbs_api,True,43.11
297,Writing Secure Code,"David LeBlanc, Michael Howard",800,Pearson Education,BOOK,47.39 CAD,https://play.google.com/store/books/details?id=nZVCAwAAQBAJ&rdid=book-nZVCAwAAQBAJ&rdot=1&source=gbs_api,True,47.39
298,"The C# Programming Language (Covering C# 4.0), Portable Documents","Anders Hejlsberg, Mads Torgersen, Scott Wiltamuth, Peter Golde",1073,Addison-Wesley Professional,BOOK,47.39 CAD,https://play.google.com/store/books/details?id=s-IH_x6ytuQC&rdid=book-s-IH_x6ytuQC&rdot=1&source=gbs_api,True,47.39
318,Java Programming for Beginners,Mark Lassoff,311,Packt Publishing Ltd,BOOK,31.19 CAD,https://play.google.com/store/books/details?id=3RhKDwAAQBAJ&rdid=book-3RhKDwAAQBAJ&rdot=1&source=gbs_api,True,31.19
